"filename", "language", "vue", "SCSS", "TypeScript", "XML", "CSS", "comment", "blank", "total"
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useSystemConfig.spec.ts", "TypeScript", 0, 0, 176, 0, 0, 0, 47, 223
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useTransferManage.spec.ts", "TypeScript", 0, 0, 188, 0, 0, 0, 30, 218
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useTransferSimulator.spec.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 19, 70
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useUIConfig.spec.ts", "TypeScript", 0, 0, 185, 0, 0, 0, 32, 217
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\__tests__\useUserManage.spec.ts", "TypeScript", 0, 0, 180, 0, 0, 0, 36, 216
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useApplicationConfig.ts", "TypeScript", 0, 0, 44, 0, 0, 1, 8, 53
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useApplicationDetail.ts", "TypeScript", 0, 0, 193, 0, 0, 1, 36, 230
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useApplicationForm.ts", "TypeScript", 0, 0, 511, 0, 0, 19, 102, 632
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useApplicationList.ts", "TypeScript", 0, 0, 169, 0, 0, 0, 38, 207
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useApprovalDetail.ts", "TypeScript", 0, 0, 274, 0, 0, 0, 60, 334
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useApprovalList.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 26, 169
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useAuditLog.ts", "TypeScript", 0, 0, 163, 0, 0, 0, 26, 189
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useChannelManage.ts", "TypeScript", 0, 0, 201, 0, 0, 0, 26, 227
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useDownloadList.ts", "TypeScript", 0, 0, 243, 0, 0, 0, 50, 293
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useFileChunk.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 10, 43
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useLogin.ts", "TypeScript", 0, 0, 100, 0, 0, 0, 18, 118
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useNotificationList.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 33, 159
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useRegionManage.ts", "TypeScript", 0, 0, 277, 0, 0, 13, 30, 320
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useSystemConfig.ts", "TypeScript", 0, 0, 230, 0, 0, 39, 23, 292
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useTransDownload.ts", "TypeScript", 0, 0, 310, 0, 0, 51, 37, 398
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useTransUpload.ts", "TypeScript", 0, 0, 571, 0, 0, 135, 105, 811
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useTransferConfig.ts", "TypeScript", 0, 0, 33, 0, 0, 1, 5, 39
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useTransferManage.ts", "TypeScript", 0, 0, 241, 0, 0, 0, 47, 288
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useTransferSimulator.ts", "TypeScript", 0, 0, 156, 0, 0, 0, 29, 185
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useUIConfig.ts", "TypeScript", 0, 0, 502, 0, 0, 0, 53, 555
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\composables\useUserManage.ts", "TypeScript", 0, 0, 186, 0, 0, 0, 22, 208
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\directives\permission.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 7, 33
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\env.d.ts", "TypeScript", 0, 0, 10, 0, 0, 1, 4, 15
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\layouts\BlankLayout.vue", "vue", 10, 0, 0, 0, 0, 0, 2, 12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\layouts\DefaultLayout.vue", "vue", 54, 0, 0, 0, 0, 0, 12, 66
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\main.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 7, 38
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\browser.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 3, 8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\data\applications.ts", "TypeScript", 0, 0, 146, 0, 0, 0, 4, 150
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\data\cities.ts", "TypeScript", 0, 0, 92, 0, 0, 1, 4, 97
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\data\demo-init.ts", "TypeScript", 0, 0, 181, 0, 0, 0, 13, 194
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\data\departments.ts", "TypeScript", 0, 0, 42, 0, 0, 1, 3, 46
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\data\index.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 1, 5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\data\users.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 4, 81
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\db.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 6, 42
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\_utils.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 6, 53
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\application.ts", "TypeScript", 0, 0, 173, 0, 0, 7, 42, 222
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\approval.ts", "TypeScript", 0, 0, 185, 0, 0, 0, 50, 235
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\auditLog.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 14, 91
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\auth.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 15, 59
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\channelManage.ts", "TypeScript", 0, 0, 190, 0, 0, 0, 34, 224
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\city.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 7, 32
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\department.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 2, 12
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\file.ts", "TypeScript", 0, 0, 64, 0, 0, 10, 18, 92
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\index.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 5, 33
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\notification.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 24, 85
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\regionManage.ts", "TypeScript", 0, 0, 185, 0, 0, 2, 22, 209
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\systemConfig.ts", "TypeScript", 0, 0, 146, 0, 0, 8, 10, 164
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\uiConfig.ts", "TypeScript", 0, 0, 497, 0, 0, 7, 44, 548
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\mocks\handlers\user.ts", "TypeScript", 0, 0, 115, 0, 0, 0, 38, 153
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\router\__tests__\guards.spec.ts", "TypeScript", 0, 0, 72, 0, 0, 1, 12, 85
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\router\guards.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 14, 47
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\router\index.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 4, 14
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\router\routes.ts", "TypeScript", 0, 0, 319, 0, 0, 1, 14, 334
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\stores\__tests__\application.spec.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 10, 74
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\stores\__tests__\approval.spec.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 9, 63
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\stores\__tests__\auth.spec.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 15, 92
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\stores\__tests__\file.spec.ts", "TypeScript", 0, 0, 189, 0, 0, 0, 27, 216
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\stores\__tests__\notification.spec.ts", "TypeScript", 0, 0, 120, 0, 0, 0, 24, 144
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\stores\application.ts", "TypeScript", 0, 0, 151, 0, 0, 0, 24, 175
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\stores\approval.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 16, 98
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\stores\auth.ts", "TypeScript", 0, 0, 93, 0, 0, 0, 17, 110
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\stores\file.ts", "TypeScript", 0, 0, 239, 0, 0, 0, 43, 282
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\stores\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 1, 6
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\stores\notification.ts", "TypeScript", 0, 0, 122, 0, 0, 0, 35, 157
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\style.css", "CSS", 0, 0, 0, 0, 70, 0, 10, 80
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\types\application.ts", "TypeScript", 0, 0, 48, 0, 0, 1, 7, 56
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\types\approval.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 3, 15
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\types\auditLog.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 4, 24
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\types\channelManage.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 10, 62
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\types\common.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 7, 32
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\types\detail.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 2, 14
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\types\file.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 8, 63
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\types\index.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 3, 14
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\types\notification.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 3, 16
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\types\regionManage.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 9, 56
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\src\types\uiConfig.ts", "TypeScript", 0, 0, 88, 0, 0, 4, 15, 107
