"filename", "language", "vue", "SCSS", "TypeScript", "JSON with Comments", "JSON", "HTML", "CSS", "JavaScript", "Markdown", "YAML", "XML", "comment", "blank", "total"
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3830_3\9.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\10.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\11.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\12.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\13.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\14.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\15.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\16.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\17.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\18.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\19.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\20.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\21.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\22.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\23.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\24.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\25.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\26.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\27.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\28.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\29.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\30.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\31.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\32.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\33.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\34.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\35.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\36.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\37.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\38.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\39.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\40.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\41.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\42.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -1, -7
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\43.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -1, -7
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\44.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\45.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\46.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\47.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\5.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\6.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\7.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\8.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3883_5466\9.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3960_2183\1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3960_2183\10.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3960_2183\2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3960_2183\3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\VibeCoding\QTrans-0302new\qtrans-frontend\public\figma\3960_2183\4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
